PopId,Block,RILSet,Dormancy,Envt,sumY1Total,Y1Germ,sumY1Rep,Y1Rep,sumy2Total,y2Germ,sumy2Rep,y2Rep,sumy3Total,y3Germ,Y1Persistence,Y2Persistence,Y3Resurrection
E_8,2,Italy x Sweden,Non-Dormant,Control,7,Established,0,Disappeared,26,Established,0,Disappeared,3,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
E_9,6,Italy x Sweden,Dormant,Native Soil,122,Established,71,Persisted,510,Established,97,Persisted,1029,Established,Established and Persisted,Persisted,Persisted
E_10,6,Germany x Tajikistan,Mixed,Control,11,Established,9,Persisted,37,Established,0,Disappeared,133,Established,Established and Persisted,Persisted then Disappeared,Reappeared
E_11,6,Italy x Sweden,Dormant,Control,2,Established,2,Persisted,2,Established,0,Disappeared,47,Established,Established and Persisted,Persisted then Disappeared,Reappeared
E_12,6,Italy x Sweden,Mixed,Control,12,Established,4,Persisted,19,Established,2,Persisted,169,Established,Established and Persisted,Persisted,Persisted
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,34,Established,0,Disappeared,159,Established,0,Disappeared,3,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
F_1,4,Germany x Tajikistan,Dormant,Control,27,Established,1,Persisted,212,Established,0,Disappeared,15,Established,Established and Persisted,Persisted then Disappeared,Reappeared
F_2,4,UK x USA,Non-Dormant,Control,15,Established,3,Persisted,91,Established,1,Persisted,1,Established,Established and Persisted,Persisted,Persisted
F_3,4,Italy x Sweden,Dormant,High Humidity,315,Established,137,Persisted,607,Established,30,Persisted,5131,Established,Established and Persisted,Persisted,Persisted
F_4,4,Italy x Sweden,Mixed,High Humidity,193,Established,82,Persisted,867,Established,57,Persisted,4063,Established,Established and Persisted,Persisted,Persisted
F_6,2,Italy x Sweden,Dormant,Native Soil,165,Established,70,Persisted,127,Established,17,Persisted,621,Established,Established and Persisted,Persisted,Persisted
F_7,2,Germany x Tajikistan,Mixed,Control,9,Established,2,Persisted,377,Established,0,Disappeared,3,Established,Established and Persisted,Persisted then Disappeared,Reappeared
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,148,Established,60,Persisted,165,Established,3,Persisted,124,Established,Established and Persisted,Persisted,Persisted
F_9,6,Italy x Sweden,Non-Dormant,Control,8,Established,2,Persisted,0,Never Established,0,Disappeared,19,Established,Established and Persisted,Disappeared after Year 1,Reappeared
F_10,6,Germany x Tajikistan,Dormant,Control,14,Established,1,Persisted,64,Established,0,Disappeared,2,Established,Established and Persisted,Persisted then Disappeared,Reappeared
F_11,6,UK x USA,Mixed,Control,7,Established,6,Persisted,2,Established,1,Persisted,808,Established,Established and Persisted,Persisted,Persisted
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,106,Established,59,Persisted,186,Established,18,Persisted,57,Established,Established and Persisted,Persisted,Persisted
F_13,6,Germany x Tajikistan,Dormant,Straw Litter,0,Never Established,0,Disappeared,0,Never Established,0,Disappeared,NA,NA,Never Established,Never Established,NA
G_1,4,Germany x Tajikistan,Non-Dormant,Control,10,Established,2,Persisted,36,Established,0,Disappeared,0,Never Established,Established and Persisted,Persisted then Disappeared,Disappeared
G_2,4,Italy x Sweden,Dormant,Control,18,Established,9,Persisted,110,Established,0,Disappeared,3265,Established,Established and Persisted,Persisted then Disappeared,Reappeared
G_3,4,Italy x Sweden,Mixed,Straw Litter,86,Established,22,Persisted,39,Established,0,Disappeared,1622,Established,Established and Persisted,Persisted then Disappeared,Reappeared
G_5,5,Italy x Sweden,Dormant,Control,51,Established,34,Persisted,662,Established,7,Persisted,1714,Established,Established and Persisted,Persisted,Persisted
G_6,5,UK x USA,Mixed,Control,38,Established,0,Disappeared,32,Established,0,Disappeared,35,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
G_7,5,Italy x Sweden,Mixed,Control,12,Established,6,Persisted,24,Established,0,Disappeared,125,Established,Established and Persisted,Persisted then Disappeared,Reappeared
G_8,5,Germany x Tajikistan,Dormant,Control,10,Established,9,Persisted,103,Established,0,Disappeared,122,Established,Established and Persisted,Persisted then Disappeared,Reappeared
G_9,6,Italy x Sweden,Dormant,High Humidity,35,Established,11,Persisted,99,Established,0,Disappeared,729,Established,Established and Persisted,Persisted then Disappeared,Reappeared
G_10,6,Italy x Sweden,Mixed,Straw Litter,19,Established,1,Persisted,0,Never Established,0,Disappeared,262,Established,Established and Persisted,Disappeared after Year 1,Reappeared
G_11,6,Italy x Sweden,Mixed,Native Soil,147,Established,99,Persisted,590,Established,6,Persisted,424,Established,Established and Persisted,Persisted,Persisted
G_12,6,UK x USA,Dormant,Control,12,Established,7,Persisted,143,Established,6,Persisted,300,Established,Established and Persisted,Persisted,Persisted
G_13,6,Germany x Tajikistan,Non-Dormant,Straw Litter,1,Established,1,Persisted,23,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
H_1,4,UK x USA,Dormant,Control,4,Established,3,Persisted,41,Established,0,Disappeared,182,Established,Established and Persisted,Persisted then Disappeared,Reappeared
H_2,4,Italy x Sweden,Non-Dormant,Straw Litter,3,Established,0,Disappeared,0,Never Established,0,Disappeared,11,Established,Established then Disappeared,Disappeared after Year 1,Reappeared
H_4,4,Germany x Tajikistan,Dormant,Straw Litter,1,Established,0,Disappeared,0,Never Established,0,Disappeared,NA,NA,Established then Disappeared,Disappeared after Year 1,NA
H_5,5,UK x USA,Dormant,Control,17,Established,6,Persisted,4,Established,0,Disappeared,167,Established,Established and Persisted,Persisted then Disappeared,Reappeared
H_6,5,Italy x Sweden,Non-Dormant,Straw Litter,7,Established,0,Disappeared,16,Established,0,Disappeared,2,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
H_7,5,Italy x Sweden,Non-Dormant,Control,6,Established,0,Disappeared,183,Established,0,Disappeared,8,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
H_8,5,Italy x Sweden,Dormant,Straw Litter,5,Established,0,Disappeared,55,Established,0,Disappeared,72,Established,Established then Disappeared,Reappeared then Disappeared,Reappeared
H_9,6,Germany x Tajikistan,Non-Dormant,Control,0,Never Established,0,Disappeared,323,Established,0,Disappeared,0,Never Established,Never Established,Newly Established then Disappeared,Disappeared
H_10,6,Italy x Sweden,Mixed,High Humidity,233,Established,80,Persisted,270,Established,34,Persisted,1229,Established,Established and Persisted,Persisted,Persisted
H_11,6,UK x USA,Non-Dormant,Control,0,Never Established,0,Disappeared,117,Established,0,Disappeared,2,Established,Never Established,Newly Established then Disappeared,Reappeared
H_12,6,Italy x Sweden,Dormant,Straw Litter,27,Established,12,Persisted,18,Established,0,Disappeared,90,Established,Established and Persisted,Persisted then Disappeared,Reappeared
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,6,Established,0,Disappeared,0,Never Established,0,Disappeared,51,Established,Established then Disappeared,Disappeared after Year 1,Reappeared
I_3,4,Germany x Tajikistan,Mixed,Control,18,Established,1,Persisted,0,Never Established,0,Disappeared,38,Established,Established and Persisted,Disappeared after Year 1,Reappeared
I_4,4,Italy x Sweden,Dormant,Straw Litter,5,Established,4,Persisted,1,Established,0,Disappeared,606,Established,Established and Persisted,Persisted then Disappeared,Reappeared
I_5,5,Germany x Tajikistan,Non-Dormant,Control,9,Established,0,Disappeared,11,Established,0,Disappeared,0,Never Established,Established then Disappeared,Reappeared then Disappeared,Disappeared
I_6,5,Germany x Tajikistan,Dormant,Straw Litter,18,Established,0,Disappeared,14,Established,0,Disappeared,NA,NA,Established then Disappeared,Reappeared then Disappeared,NA
